title,date,link,weekendRevenue,weekendScreens,firstRevenue,firstScreens,multipleTables
Chimes at Midnight (2016 re-release),1/1/2016,/movies/?id=chimesatmidnight2015.htm,"$20,600(Estimate)",2,"$6,100",2,False
Ho Mann Jahaan,1/1/2016,/movies/?id=homannjahaan.htm,"$77,800",19,-3,-4,False
Yosemite,1/1/2016,/movies/?id=yosemite.htm,"$4,500",2,-3,-4,False
Only Yesterday (2016 re-release),1/1/2016,/movies/?id=onlyyesterday2016.htm,"$15,000",1,"$6,800",1,False
Return to Nuke 'Em High Volume 1,1/10/2014,/movies/?id=nukeem1.htm,"$3,500",1,"$1,100",1,False
The Jewish Cardinal,1/10/2014,/movies/?id=jewishcardinal.htm,"$3,900",1,-3,-4,False
The Wait,1/10/2014,/movies/?id=wait.htm,$200,1,-3,-4,False
If You Build It,1/10/2014,/movies/?id=ifyoubuildit.htm,"$5,400",1,-3,-4,False
The Truth About Emanuel,1/10/2014,/movies/?id=truthaboutemanuel.htm,-1,-2,-3,-4,False
The Rocket (2014),1/10/2014,/movies/?id=rocket2014.htm,"$5,000",2,-3,-4,False
In Bloom,1/10/2014,/movies/?id=inbloom.htm,"$10,000",2,-3,-4,False
The Suspect (2014),1/10/2014,/movies/?id=suspect14.htm,"$93,200",20,-3,-4,False
The Adventurer: The Curse of the Midas Box,1/10/2014,/movies/?id=midasbox.htm,"$5,100",82,$900,82,False
Cold Comes the Night,1/10/2014,/movies/?id=coldcomesthenight.htm,"$12,600",21,-3,-4,False
The Legend of Hercules,1/10/2014,/movies/?id=herculesbegins.htm,"$9,592,500","2,104","$3,419,600","2,104",False
Raze,1/10/2014,/movies/?id=raze.htm,"$3,700",2,-3,-4,False
Evangelion: 3.0 You Can (Not) Redo,1/10/2014,/movies/?id=evangelion3.htm,"$119,900",82,-3,-4,False
The Pirates Who Don't Do Anything,1/11/2008,/movies/?id=pirateswhodontdoanything.htm,"$5,098,000","1,337","$1,338,700","1,337",False
Baby Blues,1/11/2008,/movies/?id=babyblues.htm,"$20,700",1,-3,-4,False
In the Name of the King: A Dungeon Siege Tale,1/11/2008,/movies/?id=inthenameoftheking.htm,"$3,578,900","1,632","$1,273,500","1,632",False
First Sunday,1/11/2008,/movies/?id=firstsunday.htm,"$21,243,000","2,213","$7,384,200","2,213",False
